Country,Rank,Total BL,Import Share,Cumulative Share,Group
Singapore,1,13.6318,0.2175,0.2175,Top 3
South Korea,2,12.8931,0.2057,0.4232,Top 3
Malaysia,3,10.6508,0.1699,0.5931,Top 3
Taiwan,4,4.2750,0.0682,0.6613,Other
India,5,4.1948,0.0669,0.7282,Other
Brunei Darussalam,6,3.8727,0.0618,0.7900,Other
China,7,3.5947,0.0574,0.8474,Other
United States,8,3.0301,0.0483,0.8957,Other
Japan,9,2.1516,0.0343,0.9300,Other
Vietnam,10,1.3474,0.0215,0.9515,Other
